Slide,Title,Bullets,Notes
1,Title & Context,"Title: RabbitMirror IP Strategy: Patent Timing and Actions | Subtitle: Executive Briefing — August 14, 2025 | Presenter(s): Product/Engineering Lead + Patent Counsel (invited) | Objective: Approve immediate filings and budget",Frame the meeting: objective is approval to proceed; highlight urgency and scope.
2,Executive Summary,"US grace period active: 317 days remaining (deadline: June 27, 2026) | International rights (EU/China/Japan) forfeited due to 6/27/2025 disclosure | Action: File 2–4 US provisional applications within 30 days | Recommendation: Proceed now; strong ROI vs. cost","Stress US deadline, loss of international rights, and strong ROI case."
3,Critical Dates & Milestones,"First Public Disclosure: June 27, 2025 (GitHub) | US Grace Period Deadline: June 27, 2026 | Recommended Filing Window: by September 13, 2025 (30 days) | Secondary Window: by October 13, 2025 (60 days)",Walk through dates; emphasize 30- and 60-day filing windows.
4,What’s Patentable (Tier 1),"Behavioral Confidence Scoring (critical): multi-factor + temporal decay | ML Error Recovery Framework (high): circuit breaker + backoff + context-aware recovery | Psychological Pattern Detection (high): multi-dimensional behavioral/affective profiling | Why Tier 1: novelty, commercial value, defensibility",Explain novelty and business impact of Tier 1; why these first.
5,Supporting Innovation (Tier 2),"Real-Time Error Health Monitoring: predictive detection + self-healing | Role in portfolio: coverage breadth, continuation options, licensing value | Timing: file within 60 days after Tier 1",Position Tier 2 as breadth/continuation value; timing after Tier 1.
6,30-Day Action Plan,Week 1 (Days 1–7): resolve identity/ownership; retain counsel; first provisional (Behavioral Confidence) | Weeks 2–3 (Days 8–21): file Error Recovery + Psychological Detection provisionals; complete prior art | Week 4 (Days 22–30): execute assignments; file Error Health Monitoring provisional,Narrate weekly actions; assign owners; confirm feasibility.
7,Budget Snapshot,Phase 1 (Provisionals): ~ $38.9K total (attorney + USPTO + prior art + admin) | Phase 2 (Non-Provisionals): ~ $55.8K (6–24 months) | 3-Year Total: ~ $169.7K portfolio investment | Rationale: expected value $2.5M–$5M; licensing/valuation leverage,Share total costs and expected value; confirm budget ask and assumptions.
8,Risks & Benefits,"Benefits (high probability): competitive moat, licensing revenue, valuation uplift | Risks (if not filing): copycat risk, lost monetization, competitor first-to-file blocking | Bottom line: filing now preserves leverage; delay reduces options",Contrast benefits vs. risks; conclude with ‘delay reduces options’.
9,Governance & Documentation,Identity alignment: unify romulusaugustus / DanteX86 across all records | Chain of title: inventor assignment; archival of disclosures/drawings/test evidence | Contributor framework: CLA templates for future collaborators,Clarify ownership alignment and documentation discipline; CLAs for growth.
10,Decision & Next Steps,Decision requested: approve Phase 1 budget (~$39K) and filing schedule | Next 48 hours: schedule counsel meeting; finalize owner identity; start first provisional | KPIs: 3 Tier-1 filings by Sept 13; Tier-2 by Oct 13; quality ≥ 8/10; stay ≤ $45K in Phase 1,Ask for decision now; list next 48-hour tasks and KPIs to track.
